48 114
	$program	$expr	$expr_and_or	$expr_cmp	$expr_add_sub	$expr_mul_div	$expr_unar	$function	$list_arg	$call_function_arg	$list_function	$block	$line	$cmd	$	and	or	==	!=	>	>=	<	<=	+	-	*	/	%	variable	number	(	)	not	=	function	,	{	}	;	if	else	while	do	for	return	break	continue	print	
0	.	.	.	.	.	.	.	s2	.	.	s1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s3	.	.	.	.	.	.	.	.	.	.	.	.	.	
1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
2	.	.	.	.	.	.	.	s2	.	.	s5	.	.	.	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	s3	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	r34	
3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s6	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	
5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	r35	
6	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s7	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
7	.	.	.	.	.	.	.	.	s8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s9	.	.	s10	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	s11	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
9	.	.	.	.	.	.	.	.	.	.	.	.	.	.	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	s12	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	r30	
